time,open,volume
1585051200000,6731,56101431.08
1585054800000,6661.58,57239868.76
1585058400000,6690.53,38254104.32
1585062000000,6622.21,69584913.9
1585065600000,6587.52,33985149.76
1585069200000,6596.65,36356948.73
1585072800000,6659.11,37214973.28
1585076400000,6653.17,30677301.19
1585080000000,6697.39,34861470.88
1585083600000,6734.37,22554299.85
1585087200000,6696.11,23622497.8
1585090800000,6757.78,21724944.87
1585094400000,6744.72,38706944.66
1585098000000,6699.98,23138446.96
1585101600000,6605.55,29402441.04
1585105200000,6594.58,21714939.28
1585108800000,6557.75,16979868
1585112400000,6617.76,28377330.31
1585116000000,6704.57,17572801.07
1585119600000,6690.43,19589860.29
1585123200000,6675.21,32766036.19
1585126800000,6782.45,91974235.43
1585130400000,6869.21,109256198.61
1585134000000,6597.04,70649974.01
1585137600000,6521.36,34435131.87
1585141200000,6588.78,85130498.39
1585144800000,6573.88,52788450.27
1585148400000,6629.22,30876270.53
1585152000000,6617.27,33623699.25
1585155600000,6665.24,19765116.81
1585159200000,6641.4,25699588.28
1585162800000,6649.89,18498670.02
1585166400000,6622.38,18036555.19
1585170000000,6591.38,14790235.74
1585173600000,6599.95,28483314.07
1585177200000,6686.75,17994130.65
1585180800000,6677.43,36393039.41
1585184400000,6740,19834141.64
1585188000000,6693.43,17324528.1
1585191600000,6682.64,18748518.92
1585195200000,6725.65,20970870.18
1585198800000,6688.39,19294603.24
1585202400000,6628.49,23835520.94
1585206000000,6638,24309549.23
1585209600000,6589.92,20490123.48
1585213200000,6614.4,14846095.51
1585216800000,6621.85,19449026.66
1585220400000,6618.98,23328133.87
1585224000000,6603.31,23564687.61
1585227600000,6626.87,59144357.12
1585231200000,6635.25,23454334.89
1585234800000,6597.19,18760148.14
1585238400000,6617.04,22993597.45
1585242000000,6638.32,22470800.44
1585245600000,6632.56,11412432.15
1585249200000,6648.78,15582724.77
1585252800000,6657.93,29944186.23
1585256400000,6724.87,23654475.28
1585260000000,6716.55,15244233.51
1585263600000,6701.05,27487060.73
1585267200000,6737.36,47651844.11
1585270800000,6810.49,16036521.1
1585274400000,6802.9,15719946.89
1585278000000,6791.9,12656030.65
1585281600000,6793,22777194.61
1585285200000,6739.91,44909543.19
1585288800000,6655.97,17464666.85
1585292400000,6676.64,13578557.66
1585296000000,6699.92,16051666.67
1585299600000,6675,16698442.28
1585303200000,6646.38,26291165.32
1585306800000,6645.23,28925162.22
1585310400000,6620.58,22281195.56
1585314000000,6632.22,34550946.16
1585317600000,6592.85,17473270.45
1585321200000,6616.87,20482311.04
1585324800000,6622.86,24057379.35
1585328400000,6640,17557953.93
1585332000000,6633.74,12366747.04
1585335600000,6646.96,18932062.52
1585339200000,6657.02,11489686.12
1585342800000,6676.74,13600028.52
1585346400000,6675.64,9355153.45
1585350000000,6658.17,70418638.17
1585353600000,6359.11,73715125.5
1585357200000,6306.54,20130217.41
1585360800000,6274.7,15702519.06
1585364400000,6254.3,60684984.01
1585368000000,6116.92,29433301.27
1585371600000,6171.98,15564516.37
1585375200000,6165.01,21213471.08
