adx,DI_plus,DI_minus
5.42,0.21,0.19
6.1,0.22,0.18
6.14,0.21,0.17
5.64,0.19,0.17
5.99,0.18,0.16
6.78,0.25,0.14
9.4,0.34,0.13
12.63,0.33,0.12
15.86,0.31,0.12
19.33,0.31,0.11
22.92,0.35,0.1
25.86,0.32,0.1
29.54,0.3,0.09
31.13,0.28,0.16
32.97,0.28,0.15
35.09,0.33,0.14
37.21,0.31,0.13
39.19,0.28,0.14
41.58,0.31,0.13
43.91,0.46,0.12
45.07,0.43,0.11
46.05,0.4,0.1
45.97,0.37,0.14
45.99,0.39,0.13
45.57,0.37,0.12
45.06,0.34,0.13
43.73,0.31,0.16
44.97,0.36,0.14
46.42,0.4,0.13
46.84,0.37,0.14
46.74,0.34,0.15
47.08,0.32,0.14
45.9,0.29,0.17
43.64,0.28,0.16
40.18,0.26,0.21
36.68,0.24,0.2
33.59,0.22,0.23
30.58,0.24,0.21
27.89,0.25,0.2
25.02,0.23,0.21
22.8,0.22,0.21
20.39,0.23,0.19
17.5,0.21,0.18
14.9,0.2,0.24
12.18,0.22,0.22
10.23,0.26,0.21
9.47,0.26,0.19
8.7,0.25,0.18
8.47,0.23,0.2
8.42,0.22,0.18
9.41,0.23,0.17
9.78,0.21,0.17
10.38,0.24,0.16
11.94,0.25,0.14
13.12,0.23,0.16
13.63,0.22,0.15
15.55,0.31,0.14
17.63,0.3,0.13
19.53,0.28,0.16
19.95,0.26,0.18
20.57,0.27,0.17
20.01,0.25,0.21
20.08,0.23,0.2
19.56,0.22,0.21
18.86,0.2,0.22
18.81,0.19,0.23
18.17,0.17,0.22
18.22,0.16,0.28
17.75,0.2,0.26
17.48,0.19,0.24
16.3,0.18,0.26
13.74,0.23,0.24
12.32,0.21,0.25
12.18,0.2,0.27
11.77,0.18,0.26
12.41,0.17,0.24
13.93,0.16,0.29
15.32,0.17,0.27
15.62,0.21,0.25
15.27,0.2,0.23
14.56,0.22,0.22
12.92,0.22,0.2
12.93,0.24,0.19
13.47,0.26,0.17
14.25,0.3,0.16
16.55,0.31,0.15
18.97,0.34,0.14
20.74,0.32,0.13
22.77,0.34,0.12
24.93,0.33,0.11
25.11,0.3,0.15
26.09,0.3,0.14
28.04,0.29,0.13
29.13,0.26,0.17
30.59,0.24,0.16
30.55,0.23,0.25
30.0,0.25,0.23
29.01,0.24,0.21
27.02,0.22,0.24
25.13,0.21,0.25
22.76,0.19,0.23
21.01,0.18,0.25
19.18,0.17,0.25
16.92,0.17,0.23
15.1,0.19,0.22
13.04,0.17,0.2
10.48,0.19,0.19
9.02,0.18,0.17
8.03,0.16,0.19
